Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Australia,Consumer Confidence,1979-03-31T00:00:00,105.96,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1979-04-30T00:00:00,109.58,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1979-05-31T00:00:00,101.06,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1979-06-30T00:00:00,92.54,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1979-07-31T00:00:00,90.36,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1979-08-31T00:00:00,94.81,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1979-09-30T00:00:00,99.26,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1979-10-31T00:00:00,97.66,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1979-11-30T00:00:00,98.78,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1979-12-31T00:00:00,98.95,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-01-31T00:00:00,97.35,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-02-29T00:00:00,100,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-03-31T00:00:00,100.88,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-04-30T00:00:00,97.24,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-05-31T00:00:00,99.48,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-06-30T00:00:00,101.72,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-07-31T00:00:00,97.96,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-08-31T00:00:00,101.24,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-09-30T00:00:00,104.52,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-10-31T00:00:00,109.58,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-11-30T00:00:00,106.52,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1980-12-31T00:00:00,109.98,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-01-31T00:00:00,111.57,Monthly,WMCCCONPCT,2017-02-16T12:07:00
Australia,Consumer Confidence,1981-02-28T00:00:00,112.51,Monthly,WMCCCONPCT,2017-02-16T12:07:00
