date,market,market_name,variable,value
1/19/2020,US-NY-501,NYC,food delivery,35
1/19/2020,US-NY-501,NYC,food near me,68
1/19/2020,US-NY-501,NYC,grubhub,62
1/19/2020,US-NY-501,NYC,hellofresh,76
1/19/2020,US-NY-501,NYC,instacart,6
1/19/2020,US-NY-501,NYC,local dining,0
1/19/2020,US-NY-501,NYC,lunch near me,71
1/19/2020,US-NY-501,NYC,meal kits,100
1/19/2020,US-NY-501,NYC,meal subscription,0
1/19/2020,US-NY-501,NYC,online cooking classes,0
1/19/2020,US-NY-501,NYC,outdoor dining,4
1/19/2020,US-NY-501,NYC,places to eat,82
1/19/2020,US-NY-501,NYC,reservations,81
1/19/2020,US-NY-501,NYC,restaurants,83
1/19/2020,US-NY-501,NYC,restaurants near me,84
1/19/2020,US-NY-501,NYC,restaurants nearby,30
1/19/2020,US-NY-501,NYC,romantic restaurant,35
1/19/2020,US-NY-501,NYC,safe restaurants,16
1/19/2020,US-NY-501,NYC,shop small,34
1/19/2020,US-NY-501,NYC,shop small american express,0
1/19/2020,US-NY-501,NYC,takeout,34
1/19/2020,US-NY-501,NYC,takeout Tuesday,0
1/19/2020,US-NY-501,NYC,takeout restaurants,0
1/19/2020,US-NY-501,NYC,ubereats,53
1/19/2020,US-NY-501,NYC,wine delivery,6
1/19/2020,US-NY-501,NYC,winery near me,11
1/26/2020,US-NY-501,NYC,american express shop small,0
1/26/2020,US-NY-501,NYC,amex dining,0
1/26/2020,US-NY-501,NYC,amex shop small,0
1/26/2020,US-NY-501,NYC,bars near me,77
1/26/2020,US-NY-501,NYC,best appliances,49
1/26/2020,US-NY-501,NYC,best cookware,32
1/26/2020,US-NY-501,NYC,best restaurants,79
1/26/2020,US-NY-501,NYC,blue apron,24
1/26/2020,US-NY-501,NYC,breakfast near me,71
1/26/2020,US-NY-501,NYC,brewery near me,15
1/26/2020,US-NY-501,NYC,casual dining,0
1/26/2020,US-NY-501,NYC,coffee shops near me,67
1/26/2020,US-NY-501,NYC,delis near me,19
1/26/2020,US-NY-501,NYC,dining,38
1/26/2020,US-NY-501,NYC,dinner near me,45
1/26/2020,US-NY-501,NYC,door dash,35
1/26/2020,US-NY-501,NYC,doordash,33
1/26/2020,US-NY-501,NYC,drizly,4
1/26/2020,US-NY-501,NYC,fine dining,68
1/26/2020,US-NY-501,NYC,food delivery,31
1/26/2020,US-NY-501,NYC,food near me,59
1/26/2020,US-NY-501,NYC,grubhub,69
1/26/2020,US-NY-501,NYC,hellofresh,55
1/26/2020,US-NY-501,NYC,instacart,6
1/26/2020,US-NY-501,NYC,local dining,0
1/26/2020,US-NY-501,NYC,lunch near me,45
1/26/2020,US-NY-501,NYC,meal kits,56
1/26/2020,US-NY-501,NYC,meal subscription,0
1/26/2020,US-NY-501,NYC,online cooking classes,32
1/26/2020,US-NY-501,NYC,outdoor dining,1
1/26/2020,US-NY-501,NYC,places to eat,88
1/26/2020,US-NY-501,NYC,reservations,72
1/26/2020,US-NY-501,NYC,restaurants,81
1/26/2020,US-NY-501,NYC,restaurants near me,77
1/26/2020,US-NY-501,NYC,restaurants nearby,23
1/26/2020,US-NY-501,NYC,romantic restaurant,69
1/26/2020,US-NY-501,NYC,safe restaurants,16
1/26/2020,US-NY-501,NYC,shop small,17
1/26/2020,US-NY-501,NYC,shop small american express,0
1/26/2020,US-NY-501,NYC,takeout,27
1/26/2020,US-NY-501,NYC,takeout Tuesday,0
1/26/2020,US-NY-501,NYC,takeout restaurants,9
1/26/2020,US-NY-501,NYC,ubereats,44
1/26/2020,US-NY-501,NYC,wine delivery,11
1/26/2020,US-NY-501,NYC,winery near me,18
2/2/2020,US-NY-501,NYC,american express shop small,27
2/2/2020,US-NY-501,NYC,amex dining,0
2/2/2020,US-NY-501,NYC,amex shop small,0
2/2/2020,US-NY-501,NYC,bars near me,85
2/2/2020,US-NY-501,NYC,best appliances,48
2/2/2020,US-NY-501,NYC,best cookware,25
2/2/2020,US-NY-501,NYC,best restaurants,81
2/2/2020,US-NY-501,NYC,blue apron,14
2/2/2020,US-NY-501,NYC,breakfast near me,65
2/2/2020,US-NY-501,NYC,brewery near me,39
2/2/2020,US-NY-501,NYC,casual dining,23
2/2/2020,US-NY-501,NYC,coffee shops near me,59
2/2/2020,US-NY-501,NYC,delis near me,55
2/2/2020,US-NY-501,NYC,dining,36
2/2/2020,US-NY-501,NYC,dinner near me,46
2/2/2020,US-NY-501,NYC,door dash,36
2/2/2020,US-NY-501,NYC,doordash,30
2/2/2020,US-NY-501,NYC,drizly,24
2/2/2020,US-NY-501,NYC,fine dining,45
2/2/2020,US-NY-501,NYC,food delivery,35
2/2/2020,US-NY-501,NYC,food near me,63
2/2/2020,US-NY-501,NYC,grubhub,63
2/2/2020,US-NY-501,NYC,hellofresh,74
2/2/2020,US-NY-501,NYC,instacart,6
2/2/2020,US-NY-501,NYC,local dining,0
2/2/2020,US-NY-501,NYC,lunch near me,79
2/2/2020,US-NY-501,NYC,meal kits,28
2/2/2020,US-NY-501,NYC,meal subscription,40
2/2/2020,US-NY-501,NYC,online cooking classes,63
2/2/2020,US-NY-501,NYC,outdoor dining,3
2/2/2020,US-NY-501,NYC,places to eat,85
2/2/2020,US-NY-501,NYC,reservations,81
2/2/2020,US-NY-501,NYC,restaurants,75
2/2/2020,US-NY-501,NYC,restaurants near me,85
2/2/2020,US-NY-501,NYC,restaurants nearby,25
2/2/2020,US-NY-501,NYC,romantic restaurant,69
2/2/2020,US-NY-501,NYC,safe restaurants,31
2/2/2020,US-NY-501,NYC,shop small,11
2/2/2020,US-NY-501,NYC,shop small american express,27
2/2/2020,US-NY-501,NYC,takeout,41
2/2/2020,US-NY-501,NYC,takeout Tuesday,0
2/2/2020,US-NY-501,NYC,takeout restaurants,34
2/2/2020,US-NY-501,NYC,ubereats,46
2/2/2020,US-NY-501,NYC,wine delivery,1
2/2/2020,US-NY-501,NYC,winery near me,3
2/9/2020,US-NY-501,NYC,american express shop small,0
2/9/2020,US-NY-501,NYC,amex dining,0
2/9/2020,US-NY-501,NYC,amex shop small,0
2/9/2020,US-NY-501,NYC,bars near me,85
2/9/2020,US-NY-501,NYC,best appliances,28
2/9/2020,US-NY-501,NYC,best cookware,49
2/9/2020,US-NY-501,NYC,best restaurants,96
2/9/2020,US-NY-501,NYC,blue apron,29
2/9/2020,US-NY-501,NYC,breakfast near me,80
2/9/2020,US-NY-501,NYC,brewery near me,33
2/9/2020,US-NY-501,NYC,casual dining,45
2/9/2020,US-NY-501,NYC,coffee shops near me,70
2/9/2020,US-NY-501,NYC,delis near me,0
2/9/2020,US-NY-501,NYC,dining,42
2/9/2020,US-NY-501,NYC,dinner near me,65
2/9/2020,US-NY-501,NYC,door dash,24
2/9/2020,US-NY-501,NYC,doordash,29
2/9/2020,US-NY-501,NYC,drizly,10
2/9/2020,US-NY-501,NYC,fine dining,93
2/9/2020,US-NY-501,NYC,food delivery,33
2/9/2020,US-NY-501,NYC,food near me,68
2/9/2020,US-NY-501,NYC,grubhub,66
2/9/2020,US-NY-501,NYC,hellofresh,53
2/9/2020,US-NY-501,NYC,instacart,5
2/9/2020,US-NY-501,NYC,local dining,0
2/9/2020,US-NY-501,NYC,lunch near me,75
2/9/2020,US-NY-501,NYC,meal kits,41
2/9/2020,US-NY-501,NYC,meal subscription,0
